abbreviation,,matched_fullname
"《BMC Cancer》",BMC CANCER
"„ÄäCancer Cell„Äã",CANCER CELL
"„ÄäCancer Investigation„Äã",CANCER INVESTIGATION
"„ÄäCancer Letters „Äã",CANCER LETTERS
"„ÄäCancers„Äã",CANCERS
"„ÄäClin Cancer Res„Äã",CLINICAL CANCER RESEARCH
"„ÄäColorectal Cancer „Äã",COLORECTAL DISEASE
"„ÄäGastric Cancer„Äã",GASTRIC CANCER
"„ÄäMol Cancer Res„Äã",MOLECULES
"„ÄäMolecular Cancer Therapeutics„Äã",MOLECULAR CANCER THERAPEUTICS
"ANTICANCER RES.",ANTICANCER RESEARCH
"Antisense: Chemical Modifications. Encyclopedia of Cancer",ANAESTHESIA AND INTENSIVE CARE
"Asian Pac J Cancer Prev",ANTICANCER RESEARCH
"BR CANCER",CANCER
"Br J Cancer",CANCER
"Br J Cancer",CANCER
"BR. 1. CANCER",BMC CANCER
"Br. J. Cancer",BMC CANCER
"BR. J. CANCER",BMC CANCER
"BR. J. CANCER",BMC CANCER
"BREAST CANCER RES",BREAST CANCER RESEARCH
"BREAST CANCER RES",BREAST CANCER RESEARCH
"BREAST CANCER RES. TREAT.",BREAST CANCER RESEARCH
"BREAST CANCER RESEARCH, CURRENT MEDICINE GROUP LTD, GB",BREAST CANCER RESEARCH AND TREATMENT
"Brit. J. Cancer",BREAST CANCER
"BRITISH JOURNAL OF CANCER",BRITISH JOURNAL OF CANCER
"British Journal of Cancer",BRITISH JOURNAL OF CANCER
"BRITISH JOURNAL OF CANCER",BRITISH JOURNAL OF CANCER
"BRITISH JOURNAL OF CANCER",BRITISH JOURNAL OF CANCER
"BRITISH JOURNAL OF CANCER, NATURE PUBLISHING GROUP, LONDON, GB",BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE
"CANCER",CANCER
"CANCER",CANCER
"CANCER",CANCER
"CANCER",CANCER
"CANCER AND METASTASIS REVIEWS",CANCER AND METASTASIS REVIEWS
"CANCER BIOLOGY & THERAPY",CANCER BIOLOGY & THERAPY
"CANCER BIOTHER. RADIOPHARM.",CANCER BIOLOGY & MEDICINE
"Cancer Cell",CANCER CELL
"CANCER CELL",CANCER CELL
"CANCER CHEMOTHER. PHARMACOL.",CANCER CHEMOTHERAPY AND PHARMACOLOGY
"CANCER CONTROL",CANCER CONTROL
"CANCER DETECT PREV.",CANCER TREATMENT REVIEWS
"CANCER DISCOV",CANCER DISCOVERY
"Cancer Discovery",CANCER DISCOVERY
"CANCER DISCOVERY",CANCER DISCOVERY
"Cancer Discovery",CANCER DISCOVERY
"CANCER EPIDEMIOL BIOMARKERS PREV",CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION
"CANCER EPIDEMIOLOGY, BIOMARKERS AND PREVENTION.",CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION
"CANCER GENE THER",CANCER GENE THERAPY
"Cancer Genet Cytogenet",CANCER GENE THERAPY
"Cancer Genetics and Cytogenetics",CYTOGENETIC AND GENOME RESEARCH
"Cancer Imaging",CANCER IMAGING
"CANCER IMMUNOL. IMMUNOTHER.",CANCER IMMUNOLOGY IMMUNOTHERAPY
"CANCER IMMUNOL. IMMUNOTHER.",CANCER IMMUNOLOGY IMMUNOTHERAPY
"CANCER IMMUNOL. IMMUNOTHER.",CANCER IMMUNOLOGY IMMUNOTHERAPY
"CANCER IMMUNOLOGY AND IMMUNOTHERAPY, SPRINGER-VERLAG, BERLIN, DE",CANCER IMMUNOLOGY IMMUNOTHERAPY
"CANCER IMMUNOLOGY RESEARCH",CANCER IMMUNOLOGY RESEARCH
"CANCER IMMUNOLOGY, IMMUNOTHERAPY, SPRINGER, BERLIN, DE",CANCER IMMUNOLOGY IMMUNOTHERAPY
"Cancer Investigation (Genitourinary Cancer)",CLINICAL GENITOURINARY CANCER
"Cancer J",CANCER
"Cancer Letter",CANCER LETTERS
"Cancer Letters",CANCER LETTERS
"CANCER LETTERS",CANCER LETTERS
"CANCER LETTERS 30 AUG 2004 LNKD- PUBMED:15279905",CANCER RESEARCH AND TREATMENT
"CANCER LETTERS, NEW YORK, NY, US",CANCER TREATMENT REVIEWS
"Cancer Medicine, John Wiley & Sons Ltd., GB",CANCER CELL INTERNATIONAL
"CANCER METASTASIS REV",CANCER AND METASTASIS REVIEWS
"CANCER RES",CANCER RESEARCH
"Cancer Res",CANCER RESEARCH
"CANCER RES",CANCER RESEARCH
"CANCER RES",CANCER RESEARCH
"CANCER RES",CANCER RESEARCH
"CANCER RES",CANCER RESEARCH
"CANCER RES",CANCER RESEARCH
"CANCER RES",CANCER RESEARCH
"Cancer Res",CANCER RESEARCH
"CANCER RES",CANCER RESEARCH
"CANCER RES",CANCER RESEARCH
"Cancer Res",CANCER RESEARCH
"Cancer Res",CANCER RESEARCH
"CANCER RES",CANCER RESEARCH
"CANCER RES",CANCER RESEARCH
"CANCER RES",CANCER RESEARCH
"Cancer Res.",CANCER RESEARCH
"Cancer Res.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"Cancer Res.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"Cancer Res.",CANCER RESEARCH
"Cancer Res.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"Cancer Res.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"CANCER RES.",CANCER RESEARCH
"CANCER RES. (1994), 54(10), 2643-9 CODEN: CNREA8;ISSN: 0008-5472",CANCER RESEARCH AND TREATMENT
"CANCER RESEARCH",CANCER RESEARCH
"CANCER RESEARCH",CANCER RESEARCH
"CANCER RESEARCH",CANCER RESEARCH
"CANCER RESEARCH",CANCER RESEARCH
"Cancer Research",CANCER RESEARCH
"CANCER RESEARCH",CANCER RESEARCH
"CANCER RESEARCH",CANCER RESEARCH
"Cancer Research",CANCER RESEARCH
"CANCER RESEARCH",CANCER RESEARCH
"CANCER RESEARCH",CANCER RESEARCH
"CANCER RESEARCH",CANCER RESEARCH
"CANCER RESEARCH",CANCER RESEARCH
"Cancer Research",CANCER RESEARCH
"CANCER RESEARCH",CANCER RESEARCH
"CANCER RESEARCH , 18, 445-56 CODEN: CNREA8; ISSN: 0008-5472",CANCER RESEARCH AND TREATMENT
"Cancer Research [on line]",CANCER RESEARCH
"CANCER RESEARCH, (01 JUN 1995) VOL. 55, NO. 11, PP. 2484.",CANCER RESEARCH AND TREATMENT
"CANCER RESEARCH, AMERICAN ASSOCIATION FOR CANCER RESEARCH, BALTIMORE, MD",AMERICAN JOURNAL OF CANCER RESEARCH
"CANCER RESEARCH, AMERICAN ASSOCIATION FOR CANCER RESEARCH, BALTIMORE, MD",AMERICAN JOURNAL OF CANCER RESEARCH
"CANCER RESEARCH, AMERICAN ASSOCIATION FOR CANCER RESEARCH, US",AMERICAN JOURNAL OF CANCER RESEARCH
"CANCER RESEARCH. 15 APR 2004",CANCER RESEARCH AND TREATMENT
"CANCER SCI.",CANCER SCIENCE
"Cancer Therapy: Molecular Tumor. Horizon Bioscience",CELLULAR AND MOLECULAR LIFE SCIENCES
"CANCER TREAT REP",CANCER RESEARCH
"CANCER TREATMENT REVIEWS, ELSEVIER, AMSTERDAM, NL",CANCER TREATMENT REVIEWS
"CANCER, AMERICAN CANCER SOCIETY, PHILADELPHIA, PA, US",AMERICAN CERAMIC SOCIETY BULLETIN
"Clin Cancer Res",CLINICAL CANCER RESEARCH
"CLIN CANCER RES",CLINICAL CANCER RESEARCH
"Clin Cancer Res",CLINICAL CANCER RESEARCH
"Clin Cancer Res",CLINICAL CANCER RESEARCH
"Clin Cancer Res",CLINICAL CANCER RESEARCH
"CLIN CANCER RES.",CLINICAL CANCER RESEARCH
"Clin Cancer Res.",CLINICAL CANCER RESEARCH
"CLIN LUNG CANCER",CLINICAL LUNG CANCER
"CLIN. CANCER RES",CLINICAL CANCER RESEARCH
"Clin. Cancer Res.",CLINICAL CANCER RESEARCH
"CLIN. CANCER RES.",CLINICAL CANCER RESEARCH
"CLINICAL CANCER RES.",CLINICAL CANCER RESEARCH
"CLINICAL CANCER RESEARCH",CLINICAL CANCER RESEARCH
"CLINICAL CANCER RESEARCH",CLINICAL CANCER RESEARCH
"CLINICAL CANCER RESEARCH",CLINICAL CANCER RESEARCH
"CLINICAL CANCER RESEARCH",CLINICAL CANCER RESEARCH
"CLINICAL CANCER RESEARCH",CLINICAL CANCER RESEARCH
"CLINICAL CANCER RESEARCH : AN OFFICIAL JOURNAL OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH",CLINICAL JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY
"CLINICAL CANCER RESEARCH : AN OFFICIAL JOURNAL OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH 1 MAR 2004",CLINICAL JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY
"CLINICAL CANCER RESEARCH, THE AMERICAN ASSOCIATION FOR CANCER RESEARCH",CLINICAL JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY
"CURRENT CANCER DRUG TARGETS",CURRENT CANCER DRUG TARGETS
"CURRENT PROBLEMS IN CANCER, MOSBY, ST LOUIS, MO, US",CURRENT PROBLEMS IN CANCER
"DAI 18 KAI GAKUJUTSU SHUKAI PROGRAM SHOROKUSHU THE JAPANESE ASSOCIATION FOR MOLECULAR TARGET THERAPY OF CANCER",CANADIAN JOURNAL OF OCCUPATIONAL THERAPY-REVUE CANADIENNE D ERGOTHERAPIE
"ENDOCR RELAT CANCER",ENDOCRINE-RELATED CANCER
"Eur. J. Cancer",EUROPACE
"European Journal of Cancer",EUROPEAN JOURNAL OF CANCER
"EUROPEAN JOURNAL OF CANCER SUPPLEMENTS, PROCEEDINGS OF THE 16TH EORTC-NCI-AACR SYMPOSIUM ON MOLECULAR TARGETS AND CANCER THERAPEUTICS",JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-TOXICOLOGY AND CARCINOGENESIS
"EUROPEAN JOURNAL OF CANCER. SUPPLEMENT, PERGAMON, OXFORD, GB",EUROPEAN JOURNAL OF CANCER PREVENTION
"EUROPEAN JOURNAL OF CANCER. SUPPLEMENT, PERGAMON, OXFORD, GB",EUROPEAN JOURNAL OF CANCER PREVENTION
"Expert Rev. Anticancer",EXPERT REVIEW OF VACCINES
"Expert Rev. Anticancer Ther.",EXPERT REVIEW OF ANTICANCER THERAPY
"HCANCER IMMUNOL IMMUNOTHER.H",IMMUNOLOGY LETTERS
"INI J CANCER.",IEEE ACCESS
"Int J Cancer",INTERCIENCIA
"INT J CANCER",INTERCIENCIA
"INT J CANCER",INTERCIENCIA
"INT J CANCER.",INTERCIENCIA
"INT. J. CANCER",INTERCIENCIA
"INT. J. CANCER",INTERCIENCIA
"INT. J. CANCER",INTERCIENCIA
"INTEGRATIVE CANCER THERAPIES",INTEGRATIVE CANCER THERAPIES
"INTERNATIONAL JOURNAL OF CANCER",INTERNATIONAL JOURNAL OF CANCER
"INTERNATIONAL JOURNAL OF CANCER",INTERNATIONAL JOURNAL OF CANCER
"INTERNATIONAL JOURNAL OF CANCER",INTERNATIONAL JOURNAL OF CANCER
"International Journal of Cancer",INTERNATIONAL JOURNAL OF CANCER
"INTERNATIONAL JOURNAL OF CANCER, JOHN WILEY & SONS, INC, US",INTERNATIONAL JOURNAL OF REMOTE SENSING
"J Cancer Res Clin Oncol.",JCO PRECISION ONCOLOGY
"J NATL CANCER INST",ENDOCRINE
"J NATL CANCER INST",ENDOCRINE
"J Natl Cancer Inst",ENDOCRINE
"JAPANESE JOURNAL OF CANCER RESEARCH",JAPANESE JOURNAL OF VETERINARY RESEARCH
"JOURNAL OF CANCER",JOURNAL OF CANCER
"JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY",JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY
"JOURNAL OF NATIONAL CANCER INSTITUTE.",JNCI-JOURNAL OF THE NATIONAL CANCER INSTITUTE
"JOURNAL OF THE NATIONAL CANCER INSTITUTE 16 JUN 2010 LNKD- PUBMED:20463307",JOURNAL OF THE JAPAN INSTITUTE OF METALS AND MATERIALS
"Jpn. J. Cancer Res.",ENDOCRINE RESEARCH
"LIPOSOMES IN THE THARAPY OF INFECTIOUS DISEASE ANDCANCER",OPEN FORUM INFECTIOUS DISEASES
"LUNG CANCER",LUNG CANCER
"MOL CANCER THER",LANCET HIV
"MOLECULAR CANCER THERAPEUTICS",MOLECULAR CANCER THERAPEUTICS
"MOLECULAR CANCER THERAPEUTICS",MOLECULAR CANCER THERAPEUTICS
"Molecular Diagnosis of Cancer, Methods and Protocols, 2nd ed.;",MOLECULAR CANCER THERAPEUTICS
"NAT. REV. CANCER",NATURE CANCER
"Nat. Rev. Cancer",NATURE CANCER
"NAT. REV. CANCER",NATURE CANCER
"NAT. REV. CANCER",NATURE CANCER
"NATURE REVIEWS. CANCER",NATURE REVIEWS CANCER
"PROC. AMER ASSOC. CANCER RES. MEETING ABSTRACTS",PROCEEDINGS OF THE COMBUSTION INSTITUTE
"PROCEEDINGS OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH",PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY
"PROCEEDINGS OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH ANNUAL MEETING",PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS
"PROCEEDINGS OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH ANNUAL MEETING",PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS
