abbreviation,count
"Br J Cancer",2
"Br. J. Cancer",3
"BREAST CANCER RES",2
"BRITISH JOURNAL OF CANCER",4
"CANCER",4
"Cancer Cell",2
"Cancer Discovery",3
"CANCER IMMUNOL. IMMUNOTHER.",3
"Cancer Letters",2
"CANCER RES",16
"Cancer Res.",19
"CANCER RESEARCH",14
"CANCER RESEARCH, AMERICAN ASSOCIATION FOR CANCER RESEARCH, BALTIMORE, MD",2
"Clin Cancer Res",5
"CLIN CANCER RES.",2
"Clin. Cancer Res.",2
"CLINICAL CANCER RESEARCH",5
"EUROPEAN JOURNAL OF CANCER. SUPPLEMENT, PERGAMON, OXFORD, GB",2
"Int J Cancer",3
"INT. J. CANCER",3
"INTERNATIONAL JOURNAL OF CANCER",4
"J NATL CANCER INST",3
"MOLECULAR CANCER THERAPEUTICS",2
"NAT. REV. CANCER",4
"PROCEEDINGS OF THE AMERICAN ASSOCIATION FOR CANCER RESEARCH ANNUAL MEETING",2
